Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Rapid Development of Specialty Population Registries and Quality Measures from Electronic Health Record Data*. An Agile Framework.","/pubmed/28930362","Kannan V, Fish JS, Mutz JM, Carrington AR, Lai K, Davis LS, Youngblood JE, Rauschuber MR, Flores KA, Sara EJ, Bhat DG, Willett DL.","Methods Inf Med. 2017 Jun 14;56(99):e74-e83. doi: 10.3414/ME16-02-0031.","Methods Inf Med.  2017","PubMed","citation","PMID:28930362 | PMCID:PMC5608102","pubmed","28930362","create date:2017/09/21 | first author:Kannan V",
"Modern strategy for operational excellence: building agile and adaptive organizations.","/pubmed/29638287","Gerwitz RJ.","J Healthc Prot Manage. 2016 Oct;32(2):121-124.","J Healthc Prot Manage.  2016","PubMed","citation","PMID:29638287","pubmed","29638287","create date:2016/10/01 | first author:Gerwitz RJ",
"Industry 4.0: Reality, Future or just Science Fiction? How to Convince Today's Management to Invest in Tomorrow's Future! Successful Strategies for Industry 4.0 and Manufacturing IT.","/pubmed/27646544","Gentner S.","Chimia (Aarau). 2016;70(9):628-33. doi: 10.2533/chimia.2016.628.","Chimia (Aarau).  2016","PubMed","citation","PMID:27646544","pubmed","27646544","create date:2016/09/21 | first author:Gentner S",
"Thyroid Cancer and Tumor Collaborative Registry (TCCR).","/pubmed/27168721","Shats O, Goldner W, Feng J, Sherman A, Smith RB, Sherman S.","Cancer Inform. 2016 May 3;15:73-9. doi: 10.4137/CIN.S32470. eCollection 2016.","Cancer Inform.  2016","PubMed","citation","PMID:27168721 | PMCID:PMC4856228","pubmed","27168721","create date:2016/05/12 | first author:Shats O",
"Talking about a (business continuity) revolution: Why best practices are wrong and possible solutions for getting them right.","/pubmed/26642167","Armour M.","J Bus Contin Emer Plan. 2015-2016 Winter;9(2):103-11.","J Bus Contin Emer Plan.  2015","PubMed","citation","PMID:26642167","pubmed","26642167","create date:2015/12/08 | first author:Armour M",
"Back to the Bedside: Developing a Bedside Aid for Concussion and Brain Injury Decisions in the Emergency Department.","/pubmed/26290885","Melnick ER, Lopez K, Hess EP, Abujarad F, Brandt CA, Shiffman RN, Post LA.","EGEMS (Wash DC). 2015 Jun 29;3(2):1136. doi: 10.13063/2327-9214.1136. eCollection 2015.","EGEMS (Wash DC).  2015","PubMed","citation","PMID:26290885 | PMCID:PMC4537154","pubmed","26290885","create date:2015/08/21 | first author:Melnick ER",
"How rolling forecasting facilitates dynamic, agile planning.","/pubmed/24340653","Miller D, Allen M, Schnittger S, Hackman T.","Healthc Financ Manage. 2013 Nov;67(11):80-2, 84.","Healthc Financ Manage.  2013","PubMed","citation","PMID:24340653","pubmed","24340653","create date:2013/12/18 | first author:Miller D",
"Physical attributes, physiological characteristics, on-court performances and nutritional strategies of female and male basketball players.","/pubmed/19530751","Ziv G, Lidor R.","Sports Med. 2009;39(7):547-68. doi: 10.2165/00007256-200939070-00003. Review.","Sports Med.  2009","PubMed","citation","PMID:19530751","pubmed","19530751","create date:2009/06/18 | first author:Ziv G",
"A review of vision-based motion analysis in sport.","/pubmed/19026019","Barris S, Button C.","Sports Med. 2008;38(12):1025-43. doi: 10.2165/00007256-200838120-00006. Review.","Sports Med.  2008","PubMed","citation","PMID:19026019","pubmed","19026019","create date:2008/11/26 | first author:Barris S",
"Agile informatics: application of agile project management to the development of a personal health application.","/pubmed/18694014","Chung J, Pankey E, Norris RJ.","AMIA Annu Symp Proc. 2007 Oct 11:914.","AMIA Annu Symp Proc.  2007","PubMed","citation","PMID:18694014","pubmed","18694014","create date:2008/08/13 | first author:Chung J",
"Tactile cueing effects on performance in simulated aerial combat with high acceleration.","/pubmed/18064917","van Erp JB, Eriksson L, Levin B, Carlander O, Veltman JA, Vos WK.","Aviat Space Environ Med. 2007 Dec;78(12):1128-34.","Aviat Space Environ Med.  2007","PubMed","citation","PMID:18064917","pubmed","18064917","create date:2007/12/11 | first author:van Erp JB",
"Adopting best practices: ""Agility"" moves from software development to healthcare project management.","/pubmed/16554690","Kitzmiller R, Hunt E, Sproat SB.","Comput Inform Nurs. 2006 Mar-Apr;24(2):75-82; quiz 83-4. Review.","Comput Inform Nurs.  2006","PubMed","citation","PMID:16554690","pubmed","16554690","create date:2006/03/24 | first author:Kitzmiller R",
