Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Computational Fluid Dynamics Modelling of Hemodynamic Parameters in the Human Diseased Aorta - A Systematic Review.","/pubmed/31344467","Ong CW, Wee I, Syn N, Ng S, Leo HL, Richards AM, Choong AM.","Ann Vasc Surg. 2019 Jul 22. pii: S0890-5096(19)30487-X. doi: 10.1016/j.avsg.2019.04.032. [Epub ahead of print] Review.","Ann Vasc Surg.  2019","PubMed","citation","PMID:31344467","pubmed","31344467","create date:2019/07/26 | first author:Ong CW",
"The cardiovascular effects of electronic cigarettes: A systematic review of experimental studies.","/pubmed/31344384","Kennedy CD, van Schalkwyk MCI, McKee M, Pisinger C.","Prev Med. 2019 Jul 22:105770. doi: 10.1016/j.ypmed.2019.105770. [Epub ahead of print] Review. No abstract available. ","Prev Med.  2019","PubMed","citation","PMID:31344384","pubmed","31344384","create date:2019/07/26 | first author:Kennedy CD",
"Carriage prevalence of Neisseria meningitidis in the Americas in the 21st century: a systematic review.","/pubmed/31344352","José Francisco Santos N, Viviane Matos F, Caroline Alves F, Martha Silva MS, Leila Carvalho C.","Braz J Infect Dis. 2019 Jul 22. pii: S1413-8670(19)30116-3. doi: 10.1016/j.bjid.2019.06.006. [Epub ahead of print] Review.","Braz J Infect Dis.  2019","PubMed","citation","PMID:31344352","pubmed","31344352","create date:2019/07/26 | first author:José Francisco Santos N",
"[Effects of physical training in patients with type 2 diabetes mellitus: a systematic review].","/pubmed/31344211","Yuing T, Lizana PA, Berral FJ.","Rev Med Chil. 2019 Apr;147(4):480-489. doi: 10.4067/S0034-98872019000400480. Spanish. ","Rev Med Chil.  2019","PubMed","citation","PMID:31344211","pubmed","31344211","create date:2019/07/26 | first author:Yuing T",
"[Considering the geographical origin of studies when interpreting results from systematic reviews and meta-analyses: The case of fluid resuscitation in pediatric sepsis].","/pubmed/31344182","Díaz F, González-Dambrauskas S, Hau Lee J, Cruces P.","Rev Chil Pediatr. 2019 Jun;90(3):247-249. doi: 10.32641/rchped.v90i3.1091. Spanish.  No abstract available. ","Rev Chil Pediatr.  2019","PubMed","citation","PMID:31344182","pubmed","31344182","create date:2019/07/26 | first author:Díaz F",
"Knowledge about bacterial and viral pathogens present in wild mammals in Chile: a systematic review.","/pubmed/31344156","Llanos-Soto S, González-Acuña D.","Rev Chilena Infectol. 2019 Apr;36(2):195-218. doi: 10.4067/S0716-10182019000200195.","Rev Chilena Infectol.  2019","PubMed","citation","PMID:31344156","pubmed","31344156","create date:2019/07/26 | first author:Llanos-Soto S",
"Bone age assessment with various machine learning techniques: A systematic literature review and meta-analysis.","/pubmed/31344143","Dallora AL, Anderberg P, Kvist O, Mendes E, Diaz Ruiz S, Sanmartin Berglund J.","PLoS One. 2019 Jul 25;14(7):e0220242. doi: 10.1371/journal.pone.0220242. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31344143","pubmed","31344143","create date:2019/07/26 | first author:Dallora AL",
"Prevalence of tobacco use in healthcare workers: A systematic review and meta-analysis.","/pubmed/31344083","Nilan K, McKeever TM, McNeill A, Raw M, Murray RL.","PLoS One. 2019 Jul 25;14(7):e0220168. doi: 10.1371/journal.pone.0220168. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31344083","pubmed","31344083","create date:2019/07/26 | first author:Nilan K",
"A systemic review of maternal wellbeing and its relationship with maternal fetal attachment and early postpartum bonding.","/pubmed/31344070","McNamara J, Townsend ML, Herbert JS.","PLoS One. 2019 Jul 25;14(7):e0220032. doi: 10.1371/journal.pone.0220032. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31344070","pubmed","31344070","create date:2019/07/26 | first author:McNamara J",
"Validity of screening instruments for the detection of dementia and mild cognitive impairment in hospital inpatients: A systematic review of diagnostic accuracy studies.","/pubmed/31344048","Hwang AB, Boes S, Nyffeler T, Schuepfer G.","PLoS One. 2019 Jul 25;14(7):e0219569. doi: 10.1371/journal.pone.0219569. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:31344048","pubmed","31344048","create date:2019/07/26 | first author:Hwang AB",
"Statements and Recommendations for Guided Bone Regeneration: Consensus Report of the Guided Bone Regeneration Symposium Held in Bologna, October 15 to 16, 2016.","/pubmed/31344018","Cucchi A, Chierico A, Fontana F, Mazzocco F, Cinquegrana C, Belleggia F, Rossetti P, Soardi CM, Todisco M, Luongo R, Signorini L, Ronda M, Pistilli R.","Implant Dent. 2019 Aug;28(4):388-399. doi: 10.1097/ID.0000000000000909.","Implant Dent.  2019","PubMed","citation","PMID:31344018","pubmed","31344018","create date:2019/07/26 | first author:Cucchi A",
"Fracture of Zirconia Abutments in Implant Treatments: A Systematic Review.","/pubmed/31344017","Gou M, Chen H, Fu M, Wang H.","Implant Dent. 2019 Aug;28(4):378-387. doi: 10.1097/ID.0000000000000900.","Implant Dent.  2019","PubMed","citation","PMID:31344017","pubmed","31344017","create date:2019/07/26 | first author:Gou M",
"Ubiquitous Yet Unclear: A Systematic Review of Medical Mistrust.","/pubmed/31343961","Benkert R, Cuevas A, Thompson HS, Dove-Meadows E, Knuckles D.","Behav Med. 2019 Apr-Jun;45(2):86-101. doi: 10.1080/08964289.2019.1588220.","Behav Med.  2019","PubMed","citation","PMID:31343961","pubmed","31343961","create date:2019/07/26 | first author:Benkert R",
"Whose Responsibility Is It to Dismantle Medical Mistrust? Future Directions for Researchers and Health Care Providers.","/pubmed/31343959","Jaiswal J.","Behav Med. 2019 Apr-Jun;45(2):188-196. doi: 10.1080/08964289.2019.1630357.","Behav Med.  2019","PubMed","citation","PMID:31343959","pubmed","31343959","create date:2019/07/26 | first author:Jaiswal J",
"Nutraceutical Potential of Diet Drinks: A Critical Review on Components, Health Effects, and Consumer Safety.","/pubmed/31343956","Banga S, Kumar V, Suri S, Kaushal M, Prasad R, Kaur S.","J Am Coll Nutr. 2019 Jul 25:1-15. doi: 10.1080/07315724.2019.1642811. [Epub ahead of print]","J Am Coll Nutr.  2019","PubMed","citation","PMID:31343956","pubmed","31343956","create date:2019/07/26 | first author:Banga S",
"Re: The Role of Adenotonsillectomy in the Treatment of Primary Nocturnal Enuresis in Children: A Systematic Review.","/pubmed/31343942","Canning DA.","J Urol. 2019 Jul 25:10109701JU000057890065315db. doi: 10.1097/01.JU.0000578900.65315.db. [Epub ahead of print] No abstract available. ","J Urol.  2019","PubMed","citation","PMID:31343942","pubmed","31343942","create date:2019/07/26 | first author:Canning DA",
"Re: Systematic Review and Meta-Analysis of Alarm versus Desmopressin Therapy for Pediatric Monosymptomatic Enuresis.","/pubmed/31343940","Canning DA.","J Urol. 2019 Jul 25:10109701JU0000578896881862b. doi: 10.1097/01.JU.0000578896.88186.2b. [Epub ahead of print] No abstract available. ","J Urol.  2019","PubMed","citation","PMID:31343940","pubmed","31343940","create date:2019/07/26 | first author:Canning DA",
"CXCR4 mutations affect presentation and outcomes in patients with Waldenström macroglobulinemia: A systematic review.","/pubmed/31343930","Castillo JJ, Moreno DF, Arbelaez MI, Hunter ZR, Treon SP.","Expert Rev Hematol. 2019 Jul 25. doi: 10.1080/17474086.2019.1649132. [Epub ahead of print]","Expert Rev Hematol.  2019","PubMed","citation","PMID:31343930","pubmed","31343930","create date:2019/07/26 | first author:Castillo JJ",
"Individual and household exposures associated with cholera transmission in case-control studies: a systematic review.","/pubmed/31343805","Phelps MD, Simonsen L, Jensen PKM.","Trop Med Int Health. 2019 Jul 25. doi: 10.1111/tmi.13293. [Epub ahead of print] Review.","Trop Med Int Health.  2019","PubMed","citation","PMID:31343805","pubmed","31343805","create date:2019/07/26 | first author:Phelps MD",
"Safety and efficacy of clonidine on postoperative vomiting and pain in pediatric ophthalmic surgery: a systematic review and meta-analysis.","/pubmed/31343796","Hsu YP, Chu KC, Bai CH, Huang CJ, Chen C, Hsu CW.","Paediatr Anaesth. 2019 Jul 25. doi: 10.1111/pan.13712. [Epub ahead of print]","Paediatr Anaesth.  2019","PubMed","citation","PMID:31343796","pubmed","31343796","create date:2019/07/26 | first author:Hsu YP",
"Diagnostic Performance of Acoustic Radiation Force Impulse Elastography for the Differentiation of Benign and Malignant Superficial Lymph Nodes: A Meta-analysis.","/pubmed/31343772","Li J, Chen M, Cao CL, Zhou LQ, Li SG, Ge ZK, Zhang WH, Xu JW, Cui XW, Dietrich CF.","J Ultrasound Med. 2019 Jul 25. doi: 10.1002/jum.15096. [Epub ahead of print] Review.","J Ultrasound Med.  2019","PubMed","citation","PMID:31343772","pubmed","31343772","create date:2019/07/26 | first author:Li J",
"Marijuana Use in Pregnancy: A Review.","/pubmed/31343707","Thompson R, DeJong K, Lo J.","Obstet Gynecol Surv. 2019 Jul;74(7):415-428. doi: 10.1097/OGX.0000000000000685.","Obstet Gynecol Surv.  2019","PubMed","citation","PMID:31343707","pubmed","31343707","create date:2019/07/26 | first author:Thompson R",
"Is Virtual Reality Effective in Orthopedic Rehabilitation? A Systematic Review and Meta-Analysis.","/pubmed/31343702","Gumaa M, Youssef AR.","Phys Ther. 2019 Jul 25. pii: pzz093. doi: 10.1093/ptj/pzz093. [Epub ahead of print]","Phys Ther.  2019","PubMed","citation","PMID:31343702","pubmed","31343702","create date:2019/07/26 | first author:Gumaa M",
"Association of Preoperative, Subjective Pediatric Tonsil Size With Tonsillectomy Outcomes: A Systematic Review.","/pubmed/31343696","Pierce B, Brietzke S.","JAMA Otolaryngol Head Neck Surg. 2019 Jul 25. doi: 10.1001/jamaoto.2019.1842. [Epub ahead of print]","JAMA Otolaryngol Head Neck Surg.  2019","PubMed","citation","PMID:31343696","pubmed","31343696","create date:2019/07/26 | first author:Pierce B",
"The Effectiveness of Lumbar Transforaminal Injection of Steroid for the Treatment of Radicular Pain: A Comprehensive Review of the Published Data.","/pubmed/31343693","Smith CC, McCormick ZL, Mattie R, MacVicar J, Duszynski B, Stojanovic MP.","Pain Med. 2019 Jul 25. pii: pnz160. doi: 10.1093/pm/pnz160. [Epub ahead of print]","Pain Med.  2019","PubMed","citation","PMID:31343693","pubmed","31343693","create date:2019/07/26 | first author:Smith CC",
"Bouillabaisse or Fish soup: The Limitations of Meta-Analysis confronted to the Inconsistency of Fecal Microbiota Transplantation Studies.","/pubmed/31343677","Lagier JC, Million M, Raoult D.","Clin Infect Dis. 2019 Jul 25. pii: ciz707. doi: 10.1093/cid/ciz707. [Epub ahead of print] No abstract available. ","Clin Infect Dis.  2019","PubMed","citation","PMID:31343677","pubmed","31343677","create date:2019/07/26 | first author:Lagier JC",
"Minimally Invasive Posterior Cervical Foraminotomy as an Alternative to Anterior Cervical Discectomy and Fusion for Unilateral Cervical Radiculopathy: A Systematic Review and Meta-Analysis.","/pubmed/31343619","Sahai N, Changoor S, Dunn CJ, Sinha K, Hwang KS, Faloon M, Emami A.","Spine (Phila Pa 1976). 2019 Jul 16. doi: 10.1097/BRS.0000000000003156. [Epub ahead of print]","Spine (Phila Pa 1976).  2019","PubMed","citation","PMID:31343619","pubmed","31343619","create date:2019/07/26 | first author:Sahai N",
"Critical Call for Hospital-Based Domestic Violence Intervention: The Davis Challenge.","/pubmed/31343600","Aboutanos MB, Altonen M, Vincent A, Broering B, Maher K, Thomson ND.","J Trauma Acute Care Surg. 2019 Jul 22. doi: 10.1097/TA.0000000000002450. [Epub ahead of print]","J Trauma Acute Care Surg.  2019","PubMed","citation","PMID:31343600","pubmed","31343600","create date:2019/07/26 | first author:Aboutanos MB",
"Operative Vs. Non-operative Management of Displaced Midshaft Clavicle Fractures in Pediatric and Adolescent Patients: A Systematic Review and Meta-Analysis.","/pubmed/31343597","Gao B, Dwivedi S, Patel S, Nwizu C, Cruz AI Jr.","J Orthop Trauma. 2019 Jul 15. doi: 10.1097/BOT.0000000000001580. [Epub ahead of print]","J Orthop Trauma.  2019","PubMed","citation","PMID:31343597","pubmed","31343597","create date:2019/07/26 | first author:Gao B",
"Exercise Training in Adults With Congenital Heart Disease: A SYSTEMATIC REVIEW AND META-ANALYSIS.","/pubmed/31343584","Li X, Chen N, Zhou X, Yang Y, Chen S, Song Y, Sun K, Du Q.","J Cardiopulm Rehabil Prev. 2019 Jul 22. doi: 10.1097/HCR.0000000000000420. [Epub ahead of print]","J Cardiopulm Rehabil Prev.  2019","PubMed","citation","PMID:31343584","pubmed","31343584","create date:2019/07/26 | first author:Li X",
"Mammalian target of rapamycin inhibitors combined with calcineurin inhibitors as initial immunosuppression in renal transplantation: a meta-analysis.","/pubmed/31343574","Montero N, Quero M, Melilli E, Pérez-Sáez MJ, Redondo-Pachón D, Bestard O, Crespo M, Cruzado JM, Pascual J.","Transplantation. 2019 May 7. doi: 10.1097/TP.0000000000002769. [Epub ahead of print]","Transplantation.  2019","PubMed","citation","PMID:31343574","pubmed","31343574","create date:2019/07/26 | first author:Montero N",
"Swim-Specific Resistance Training: A Systematic Review.","/pubmed/31343554","Muniz-Pardos B, Gomez-Bruton A, Matute-Llorente A, Gonzalez-Aguero A, Gomez-Cabello A, Gonzalo-Skok O, Casajus JA, Vicente-Rodriguez G.","J Strength Cond Res. 2019 Jul 22. doi: 10.1519/JSC.0000000000003256. [Epub ahead of print]","J Strength Cond Res.  2019","PubMed","citation","PMID:31343554","pubmed","31343554","create date:2019/07/26 | first author:Muniz-Pardos B",
"Visual Deficits and Dysfunctions Associated with Traumatic Brain Injury: A Systematic Review and Meta-analysis.","/pubmed/31343512","Merezhinskaya N, Mallia RK, Park D, Bryden DW, Mathur K, Barker FM 2nd.","Optom Vis Sci. 2019 Jul 23. doi: 10.1097/OPX.0000000000001407. [Epub ahead of print]","Optom Vis Sci.  2019","PubMed","citation","PMID:31343512","pubmed","31343512","create date:2019/07/26 | first author:Merezhinskaya N",
"Clinical Efficacy of Liposomal Bupivacaine: A Systematic Review of Prospective, Randomized Controlled Trials in Orthopaedic Surgery.","/pubmed/31343508","Abildgaard JT, Chung AS, Tokish JM, Hattrup SJ.","JBJS Rev. 2019 Jul 23. doi: 10.2106/JBJS.RVW.18.00192. [Epub ahead of print]","JBJS Rev.  2019","PubMed","citation","PMID:31343508","pubmed","31343508","create date:2019/07/26 | first author:Abildgaard JT",
"Approaches for assessing decision-making capacity in older adults: a scoping review protocol.","/pubmed/31343496","Usher R, Stapleton T.","JBI Database System Rev Implement Rep. 2019 Jul 22. doi: 10.11124/JBISRIR-D-19-00068. [Epub ahead of print]","JBI Database System Rev Implement Rep.  2019","PubMed","citation","PMID:31343496","pubmed","31343496","create date:2019/07/26 | first author:Usher R",
"Disaster management in rural and remote primary healthcare settings: a scoping review protocol.","/pubmed/31343495","Willson K, Lim D.","JBI Database System Rev Implement Rep. 2019 Jul 22. doi: 10.11124/JBISRIR-D-19-00029. [Epub ahead of print]","JBI Database System Rev Implement Rep.  2019","PubMed","citation","PMID:31343495","pubmed","31343495","create date:2019/07/26 | first author:Willson K",
"Comparative efficacy of lifestyle intervention strategies targeting weight outcomes in people with psychosis: a systematic review and network meta-analysis.","/pubmed/31343494","Mucheru D, Hanlon MC, McEvoy M, Thakkinstian A, MacDonald-Wicks L.","JBI Database System Rev Implement Rep. 2019 Jul 22. doi: 10.11124/JBISRIR-2017-003943. [Epub ahead of print]","JBI Database System Rev Implement Rep.  2019","PubMed","citation","PMID:31343494","pubmed","31343494","create date:2019/07/26 | first author:Mucheru D",
"Supplemental Oxygen and the Risk of Surgical Site Infection: Evidence of Compromised Data Requires Correction of Previously Published Meta-analysis.","/pubmed/31343461","Hovaguimian F, Elia N, Tramèr MR.","Anesthesiology. 2019 Jul 19. doi: 10.1097/ALN.0000000000002897. [Epub ahead of print] No abstract available. ","Anesthesiology.  2019","PubMed","citation","PMID:31343461","pubmed","31343461","create date:2019/07/26 | first author:Hovaguimian F",
"Update in Duchenne and Becker muscular dystrophy.","/pubmed/31343429","Waldrop MA, Flanigan KM.","Curr Opin Neurol. 2019 Jul 23. doi: 10.1097/WCO.0000000000000739. [Epub ahead of print]","Curr Opin Neurol.  2019","PubMed","citation","PMID:31343429","pubmed","31343429","create date:2019/07/26 | first author:Waldrop MA",
"Nonthyroidal illness in critically ill children.","/pubmed/31343421","Jacobs A, Vanhorebeek I, Van den Berghe G.","Curr Opin Endocrinol Diabetes Obes. 2019 Jul 23. doi: 10.1097/MED.0000000000000494. [Epub ahead of print]","Curr Opin Endocrinol Diabetes Obes.  2019","PubMed","citation","PMID:31343421","pubmed","31343421","create date:2019/07/26 | first author:Jacobs A",
"Low-dose oral theophylline combined with inhaled corticosteroids for people with chronic obstructive pulmonary disease and high risk of exacerbations: a RCT.","/pubmed/31343402","Devereux G, Cotton S, Fielding S, McMeekin N, Barnes PJ, Briggs A, Burns G, Chaudhuri R, Chrystyn H, Davies L, Soyza A, Gompertz S, Haughney J, Innes K, Kaniewska J, Lee A, Morice A, Norrie J, Sullivan A, Wilson A, Price D.","Health Technol Assess. 2019 Jul;23(37):1-146. doi: 10.3310/hta23370.","Health Technol Assess.  2019","PubMed","citation","PMID:31343402","pubmed","31343402","create date:2019/07/26 | first author:Devereux G",
"The Correlation Between the Severity of Premonitory Urges and Tic Symptoms: A Meta-Analysis.","/pubmed/31343266","Li Y, Wang F, Liu J, Wen F, Yan C, Zhang J, Lu X, Cui Y.","J Child Adolesc Psychopharmacol. 2019 Jul 25. doi: 10.1089/cap.2019.0048. [Epub ahead of print]","J Child Adolesc Psychopharmacol.  2019","PubMed","citation","PMID:31343266","pubmed","31343266","create date:2019/07/26 | first author:Li Y",
"Defending behavior of peer victimization in school and cyber context during childhood and adolescence: A meta-analytic review of individual and peer-relational characteristics.","/pubmed/31343187","Ma TL, Meter DJ, Chen WT, Lee Y.","Psychol Bull. 2019 Jul 25. doi: 10.1037/bul0000205. [Epub ahead of print]","Psychol Bull.  2019","PubMed","citation","PMID:31343187","pubmed","31343187","create date:2019/07/26 | first author:Ma TL",
"Rapid holistic perception and evasion of road hazards.","/pubmed/31343185","Wolfe B, Seppelt B, Mehler B, Reimer B, Rosenholtz R.","J Exp Psychol Gen. 2019 Jul 25. doi: 10.1037/xge0000665. [Epub ahead of print]","J Exp Psychol Gen.  2019","PubMed","citation","PMID:31343185","pubmed","31343185","create date:2019/07/26 | first author:Wolfe B",
"Predicting and preventing symptom onset and relapse in schizophrenia-A metareview of current empirical evidence.","/pubmed/31343181","Lecomte T, Potvin S, Samson C, Francoeur A, Hache-Labelle C, Gagné S, Boucher J, Bouchard M, Mueser KT.","J Abnorm Psychol. 2019 Jul 25. doi: 10.1037/abn0000447. [Epub ahead of print]","J Abnorm Psychol.  2019","PubMed","citation","PMID:31343181","pubmed","31343181","create date:2019/07/26 | first author:Lecomte T",
"Experiences of computer-based and conventional self-help interventions for eating disorders: A systematic review and meta-synthesis of qualitative research.","/pubmed/31343088","Yim SH, Schmidt U.","Int J Eat Disord. 2019 Jul 25. doi: 10.1002/eat.23142. [Epub ahead of print] Review.","Int J Eat Disord.  2019","PubMed","citation","PMID:31343088","pubmed","31343088","create date:2019/07/26 | first author:Yim SH",
"Correlation Between RASSF1A Gene Promoter Hypermethylation in Serum or Sputum and Non-Small Cell Lung Cancer (NSCLC): A Meta-Analysis.","/pubmed/31342946","Zhang Z, Yan S, Cui H, Chen H, Liu J.","Med Sci Monit. 2019 Jul 25;25:5518-5524. doi: 10.12659/MSM.917457.","Med Sci Monit.  2019","PubMed","citation","PMID:31342946","pubmed","31342946","create date:2019/07/26 | first author:Zhang Z",
"A Real-Time Automated Patient Screening System for Clinical Trials Eligibility in an Emergency Department: Design and Evaluation.","/pubmed/31342909","Ni Y, Bermudez M, Kennebeck S, Liddy-Hicks S, Dexheimer J.","JMIR Med Inform. 2019 Jul 24;7(3):e14185. doi: 10.2196/14185.","JMIR Med Inform.  2019","PubMed","citation","PMID:31342909","pubmed","31342909","create date:2019/07/26 | first author:Ni Y",
"Use of Social Robots in Mental Health and Well-Being Research: Systematic Review.","/pubmed/31342908","Scoglio AA, Reilly ED, Gorman JA, Drebing CE.","J Med Internet Res. 2019 Jul 24;21(7):e13322. doi: 10.2196/13322. Review.","J Med Internet Res.  2019","PubMed","citation","PMID:31342908","pubmed","31342908","create date:2019/07/26 | first author:Scoglio AA",
"Exposure to glyphosate-based herbicides and risk for non-Hodgkin lymphoma: A meta-analysis and supporting evidence.","/pubmed/31342895","Zhang L, Rana I, Shaffer RM, Taioli E, Sheppard L.","Mutat Res. 2019 Feb 10;781:186-206. doi: 10.1016/j.mrrev.2019.02.001. [Epub ahead of print] Review.","Mutat Res.  2019","PubMed","citation","PMID:31342895","pubmed","31342895","create date:2019/07/26 | first author:Zhang L",
"Neutrophil-Extracellular Traps, Cell-Free DNA, and Immunothrombosis in Companion Animals: A Review.","/pubmed/31342866","Goggs R, Jeffery U, LeVine DN, Li RHL.","Vet Pathol. 2019 Jul 25:300985819861721. doi: 10.1177/0300985819861721. [Epub ahead of print]","Vet Pathol.  2019","PubMed","citation","PMID:31342866","pubmed","31342866","create date:2019/07/26 | first author:Goggs R",
"Scoping Review of Self-Advocacy Education Interventions to Improve Care.","/pubmed/31342850","Schmidt EK, Faieta J, Tanner K.","OTJR (Thorofare N J). 2019 Jul 25:1539449219860583. doi: 10.1177/1539449219860583. [Epub ahead of print]","OTJR (Thorofare N J).  2019","PubMed","citation","PMID:31342850","pubmed","31342850","create date:2019/07/26 | first author:Schmidt EK",
"Epstein-Barr virus and risk of breast cancer: a systematic review and meta-analysis.","/pubmed/31342783","Farahmand M, Monavari SH, Shoja Z, Ghaffari H, Tavakoli M, Tavakoli A.","Future Oncol. 2019 Jul 25. doi: 10.2217/fon-2019-0232. [Epub ahead of print]","Future Oncol.  2019","PubMed","citation","PMID:31342783","pubmed","31342783","create date:2019/07/26 | first author:Farahmand M",
"Antibiotic Dosing for Critically Ill Adult Patients Receiving Intermittent Hemodialysis, Prolonged Intermittent Renal Replacement Therapy, and Continuous Renal Replacement Therapy: An Update.","/pubmed/31342772","Hoff BM, Maker JH, Dager WE, Heintz BH.","Ann Pharmacother. 2019 Jul 25:1060028019865873. doi: 10.1177/1060028019865873. [Epub ahead of print]","Ann Pharmacother.  2019","PubMed","citation","PMID:31342772","pubmed","31342772","create date:2019/07/26 | first author:Hoff BM",
"Inhalation Technique Errors with Metered-Dose Inhalers Among Patients with Obstructive Lung Diseases: A Systematic Review and Meta-Analysis of U.S. Studies.","/pubmed/31342732","Cho-Reyes S, Celli BR, Dembek C, Yeh K, Navaie M.","Chronic Obstr Pulm Dis. 2019 Jul 24;6(3):267-280. doi: 10.15326/jcopdf.6.3.2018.0168. Review.","Chronic Obstr Pulm Dis.  2019","PubMed","citation","PMID:31342732","pubmed","31342732","create date:2019/07/26 | first author:Cho-Reyes S",
