Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Orthogonal Plating With a 95-Degree Blade Plate for Salvage of Unsuccessful Cephalomedullary Nailing of Atypic Femur Fractures: A Technical Trick.","/pubmed/30633079","Rollick NC, Bear J, Diamond O, Wellman DS, Helfet DL.","J Orthop Trauma. 2019 Jun;33(6):e246-e250. doi: 10.1097/BOT.0000000000001426.","J Orthop Trauma.  2019","PubMed","citation","PMID:30633079","pubmed","30633079","create date:2019/01/12 | first author:Rollick NC",
"Safety and efficacy of a two-screw cephalomedullary nail for intertrochanteric femur fracture fixation: a retrospective case series in 264 patients.","/pubmed/30410578","Zelle BA, Webb AJ, Matson C, Morwood M, Dang KH, Ornell SS, Gostigian G, Ramirez CM, Mir H.","Patient Saf Surg. 2018 Nov 6;12:31. doi: 10.1186/s13037-018-0177-x. eCollection 2018.","Patient Saf Surg.  2018","PubMed","citation","PMID:30410578 | PMCID:PMC6218954","pubmed","30410578","create date:2018/11/10 | first author:Zelle BA",
"Roles of gender and obesity in defining correlations between perfluoroalkyl substances and lipid/lipoproteins.","/pubmed/30408670","Jain RB, Ducatman A.","Sci Total Environ. 2019 Feb 25;653:74-81. doi: 10.1016/j.scitotenv.2018.10.362. Epub 2018 Oct 29.","Sci Total Environ.  2019","PubMed","citation","PMID:30408670","pubmed","30408670","create date:2018/11/09 | first author:Jain RB",
"[Extracapsular Proximal Femoral Fractures - Retrospective Evaluation of a Group of Patients with a Focus on Complications of Treatment].","/pubmed/30257754","Novotný P, Dědek T, Frank M, Šmejkal K, Bútora S, Kočí J, Trlica J.","Acta Chir Orthop Traumatol Cech. 2018;85(4):249-253. Czech. ","Acta Chir Orthop Traumatol Cech.  2018","PubMed","citation","PMID:30257754","pubmed","30257754","create date:2018/09/28 | first author:Novotný P",
"Salvage for intramedullary nailing breakage after operative treatment of trochanteric fractures.","/pubmed/30219147","Tomás-Hernández J, Núñez-Camarena J, Teixidor-Serra J, Guerra-Farfan E, Selga J, Antonio Porcel J, Andrés-Peiró JV, Molero V.","Injury. 2018 Sep;49 Suppl 2:S44-S50. doi: 10.1016/j.injury.2018.07.018.","Injury.  2018","PubMed","citation","PMID:30219147","pubmed","30219147","create date:2018/09/17 | first author:Tomás-Hernández J",
"Local Postoperative Complications after Surgery for Intertrochanteric Fractures Using Cephalomedullary Nails.","/pubmed/30202751","Kim KH, Han KY, Kim KW, Lee JH, Chung MK.","Hip Pelvis. 2018 Sep;30(3):168-174. doi: 10.5371/hp.2018.30.3.168. Epub 2018 Sep 4.","Hip Pelvis.  2018","PubMed","citation","PMID:30202751 | PMCID:PMC6123510","pubmed","30202751","create date:2018/09/12 | first author:Kim KH",
"ALS-causing mutations in profilin-1 alter its conformational dynamics: A computational approach to explain propensity for aggregation.","/pubmed/30166578","Kiaei M, Balasubramaniam M, Govind Kumar V, Shmookler Reis RJ, Moradi M, Varughese KI.","Sci Rep. 2018 Aug 30;8(1):13102. doi: 10.1038/s41598-018-31199-7.","Sci Rep.  2018","PubMed","citation","PMID:30166578 | PMCID:PMC6117255","pubmed","30166578","create date:2018/09/01 | first author:Kiaei M",
"Outcomes after unstable pertrochanteric femur fracture: intermediate versus long cephalomedullary nails.","/pubmed/30143808","Thamyongkit S, MacKenzie JS, Sirisreetreerux N, Shafiq B, Hasenboehler EA.","Eur J Trauma Emerg Surg. 2018 Aug 24. doi: 10.1007/s00068-018-1002-z. [Epub ahead of print]","Eur J Trauma Emerg Surg.  2018","PubMed","citation","PMID:30143808","pubmed","30143808","create date:2018/08/26 | first author:Thamyongkit S",
"Perfluoroalkyl acid exposure induces protective mitochondrial and endoplasmic reticulum autophagy in lung cells.","/pubmed/30022264","Xin Y, Wan B, Yang Y, Cui XJ, Xie YC, Guo LH.","Arch Toxicol. 2018 Oct;92(10):3131-3147. doi: 10.1007/s00204-018-2266-0. Epub 2018 Jul 18.","Arch Toxicol.  2018","PubMed","citation","PMID:30022264","pubmed","30022264","create date:2018/07/20 | first author:Xin Y",
"Short-term Medical Complications Following Short Versus Long Cephalomedullary Nails.","/pubmed/30011050","Liu J, Frisch NB, Mehran N, Qatu M, Guthrie ST.","Orthopedics. 2018 Sep 1;41(5):e636-e642. doi: 10.3928/01477447-20180711-03. Epub 2018 Jul 16.","Orthopedics.  2018","PubMed","citation","PMID:30011050","pubmed","30011050","create date:2018/07/17 | first author:Liu J",
"Osteoarthritis is associated with increased failure of proximal femoral fracture fixation.","/pubmed/29926148","Gallagher CA, Jones CW, Kimmel L, Wylde C, Osbrough A, Bulsara M, Hird K, Yates P.","Int Orthop. 2019 May;43(5):1223-1230. doi: 10.1007/s00264-018-4014-8. Epub 2018 Jun 20.","Int Orthop.  2019","PubMed","citation","PMID:29926148","pubmed","29926148","create date:2018/06/22 | first author:Gallagher CA",
"Per- and polyfluoroalkyl substances impact human spermatogenesis in a stem-cell-derived model.","/pubmed/29911897","Steves AN, Turry A, Gill B, Clarkson-Townsend D, Bradner JM, Bachli I, Caudle WM, Miller GW, Chan AWS, Easley CA 4th.","Syst Biol Reprod Med. 2018 Aug;64(4):225-239. doi: 10.1080/19396368.2018.1481465. Epub 2018 Jun 18.","Syst Biol Reprod Med.  2018","PubMed","citation","PMID:29911897 | PMCID:PMC6287972","pubmed","29911897","create date:2018/06/19 | first author:Steves AN",
"Cement augmentation of the Proximal Femoral Nail Antirotation (PFNA) - A multicentre randomized controlled trial.","/pubmed/29724590","Kammerlander C, Hem ES, Klopfer T, Gebhard F, Sermon A, Dietrich M, Bach O, Weil Y, Babst R, Blauth M.","Injury. 2018 Aug;49(8):1436-1444. doi: 10.1016/j.injury.2018.04.022. Epub 2018 Apr 22.","Injury.  2018","PubMed","citation","PMID:29724590","pubmed","29724590","create date:2018/05/05 | first author:Kammerlander C",
"Optimizing stability in AO/OTA 31-A2 intertrochanteric fracture fixation in older patients with osteoporosis.","/pubmed/29517952","Zhang C, Xu B, Liang G, Zeng X, Zeng D, Chen D, Ge Z, Yu W, Zhang X.","J Int Med Res. 2018 May;46(5):1767-1778. doi: 10.1177/0300060518761504. Epub 2018 Mar 8.","J Int Med Res.  2018","PubMed","citation","PMID:29517952 | PMCID:PMC5991238","pubmed","29517952","create date:2018/03/09 | first author:Zhang C",
"Puf3 participates in ribosomal biogenesis in malaria parasites.","/pubmed/29487181","Liang X, Hart KJ, Dong G, Siddiqui FA, Sebastian A, Li X, Albert I, Miao J, Lindner SE, Cui L.","J Cell Sci. 2018 Mar 26;131(6). pii: jcs212597. doi: 10.1242/jcs.212597.","J Cell Sci.  2018","PubMed","citation","PMID:29487181 | PMCID:PMC5897713","pubmed","29487181","create date:2018/03/01 | first author:Liang X",
"Cumulative exposure to environmental pollutants during early pregnancy and reduced fetal growth: the Project Viva cohort.","/pubmed/29458383","Rokoff LB, Rifas-Shiman SL, Coull BA, Cardenas A, Calafat AM, Ye X, Gryparis A, Schwartz J, Sagiv SK, Gold DR, Oken E, Fleisch AF.","Environ Health. 2018 Feb 20;17(1):19. doi: 10.1186/s12940-018-0363-4.","Environ Health.  2018","PubMed","citation","PMID:29458383 | PMCID:PMC5819079","pubmed","29458383","create date:2018/02/21 | first author:Rokoff LB",
"Does the Angle of the Nail Matter for Pertrochanteric Fracture Reduction? Matching Nail Angle and Native Neck-Shaft Angle.","/pubmed/29377850","Parry JA, Barrett I, Schoch B, Yuan B, Cass J, Cross W.","J Orthop Trauma. 2018 Apr;32(4):174-177. doi: 10.1097/BOT.0000000000001096.","J Orthop Trauma.  2018","PubMed","citation","PMID:29377850","pubmed","29377850","create date:2018/01/30 | first author:Parry JA",
"Appropriateness and timeliness of care-seeking for complications of pregnancy and childbirth in rural Ethiopia: a case study of the Maternal and Newborn Health in Ethiopia Partnership.","/pubmed/29297394","Sibley LM, Amare Y, Abebe ST, Belew ML, Shiffra K, Barry D.","J Health Popul Nutr. 2017 Dec 21;36(Suppl 1):50. doi: 10.1186/s41043-017-0120-2.","J Health Popul Nutr.  2017","PubMed","citation","PMID:29297394 | PMCID:PMC5764048","pubmed","29297394","create date:2018/01/04 | first author:Sibley LM",
"The nail-shaft-axis of the of proximal femoral nail antirotation (PFNA) is an important prognostic factor in the operative treatment of intertrochanteric fractures.","/pubmed/29256184","Jiamton C, Boernert K, Babst R, Beeres FJP, Link BC.","Arch Orthop Trauma Surg. 2018 Mar;138(3):339-349. doi: 10.1007/s00402-017-2857-x. Epub 2017 Dec 18.","Arch Orthop Trauma Surg.  2018","PubMed","citation","PMID:29256184","pubmed","29256184","create date:2017/12/20 | first author:Jiamton C",
"Cerclage Wiring as an Adjunct for the Treatment of Femur Fractures: Series of 11 Cases.","/pubmed/29181351","Agarwala S, Menon A, Chaudhari S.","J Orthop Case Rep. 2017 Jul-Aug;7(4):39-43. doi: 10.13107/jocr.2250-0685.842.","J Orthop Case Rep.  2017","PubMed","citation","PMID:29181351 | PMCID:PMC5702702","pubmed","29181351","create date:2017/11/29 | first author:Agarwala S",
"Is the Best Plate a Nail? A Review of 3230 Unstable Intertrochanteric Fractures of the Proximal Femur.","/pubmed/29040233","Tucker A, Donnelly KJ, Rowan C, McDonald S, Foster AP.","J Orthop Trauma. 2018 Feb;32(2):53-60. doi: 10.1097/BOT.0000000000001038.","J Orthop Trauma.  2018","PubMed","citation","PMID:29040233","pubmed","29040233","create date:2017/10/19 | first author:Tucker A",
"A retrospective analysis of the InterTan nail and proximal femoral nail anti-rotation in the treatment of intertrochanteric fractures in elderly patients with osteoporosis: a minimum follow-up of 3 years.","/pubmed/29017580","Zhang H, Zhu X, Pei G, Zeng X, Zhang N, Xu P, Chen D, Yu W, Zhang X.","J Orthop Surg Res. 2017 Oct 10;12(1):147. doi: 10.1186/s13018-017-0648-2.","J Orthop Surg Res.  2017","PubMed","citation","PMID:29017580 | PMCID:PMC5634834","pubmed","29017580","create date:2017/10/12 | first author:Zhang H",
"Congenital melanocytic nevus mimicking a turban tumour in an 18-year-old Filipino male.","/pubmed/28942405","Sison MEG, Cubillan E, Tansipek BU.","BMJ Case Rep. 2017 Sep 23;2017. pii: bcr-2017-221266. doi: 10.1136/bcr-2017-221266.","BMJ Case Rep.  2017","PubMed","citation","PMID:28942405","pubmed","28942405","create date:2017/09/25 | first author:Sison MEG",
"Time-dependent effects of perfluorinated compounds on viability in cerebellar granule neurons: Dependence on carbon chain length and functional group attached.","/pubmed/28919516","Berntsen HF, Bjørklund CG, Audinot JN, Hofer T, Verhaegen S, Lentzen E, Gutleb AC, Ropstad E.","Neurotoxicology. 2017 Dec;63:70-83. doi: 10.1016/j.neuro.2017.09.005. Epub 2017 Sep 15.","Neurotoxicology.  2017","PubMed","citation","PMID:28919516","pubmed","28919516","create date:2017/09/19 | first author:Berntsen HF",
"Anteromedial cortical support reduction in unstable pertrochanteric fractures: a comparison of intra-operative fluoroscopy and post-operative three dimensional computerised tomography reconstruction.","/pubmed/28891021","Chang SM, Zhang YQ, Du SC, Ma Z, Hu SJ, Yao XZ, Xiong WF.","Int Orthop. 2018 Jan;42(1):183-189. doi: 10.1007/s00264-017-3623-y. Epub 2017 Sep 10.","Int Orthop.  2018","PubMed","citation","PMID:28891021","pubmed","28891021","create date:2017/09/12 | first author:Chang SM",
"Atraumatic segmental atypical femur fracture secondary to bisphosphonate use: A case report.","/pubmed/28878545","Lovy AJ, Patterson D, Skeeles L, Ghillani R, Joseph D, Wu Y, Hasija R.","J Clin Orthop Trauma. 2017 Aug;8(Suppl 1):S67-S71. doi: 10.1016/j.jcot.2017.03.005. Epub 2017 Mar 19.","J Clin Orthop Trauma.  2017","PubMed","citation","PMID:28878545 | PMCID:PMC5574839","pubmed","28878545","create date:2017/09/08 | first author:Lovy AJ",
"ALS-causing profilin-1-mutant forms a non-native helical structure in membrane environments.","/pubmed/28847504","Lim L, Kang J, Song J.","Biochim Biophys Acta Biomembr. 2017 Nov;1859(11):2161-2170. doi: 10.1016/j.bbamem.2017.08.013. Epub 2017 Aug 25.","Biochim Biophys Acta Biomembr.  2017","PubMed","citation","PMID:28847504","pubmed","28847504","create date:2017/08/30 | first author:Lim L",
"Proximal femoral nail antirotation versus hemiarthroplasty in the treatment of senile intertrochanteric fractures: Case report.","/pubmed/28734187","Luo X, He S, Zeng D, Lin L, Li Q.","Int J Surg Case Rep. 2017;38:37-42. doi: 10.1016/j.ijscr.2017.04.027. Epub 2017 Jul 11.","Int J Surg Case Rep.  2017","PubMed","citation","PMID:28734187 | PMCID:PMC5521030","pubmed","28734187","create date:2017/07/25 | first author:Luo X",
"Secondary femur shaft fracture following treatment with cephalomedullary nail: a retrospective single-center experience.","/pubmed/28721591","Lang NW, Joestl J, Payr S, Platzer P, Sarahrudi K.","Arch Orthop Trauma Surg. 2017 Sep;137(9):1271-1278. doi: 10.1007/s00402-017-2748-1. Epub 2017 Jul 18.","Arch Orthop Trauma Surg.  2017","PubMed","citation","PMID:28721591","pubmed","28721591","create date:2017/07/20 | first author:Lang NW",
"A technique for extraction of the distal segment of a broken femoral nail using a flexible reamer.","/pubmed/28645423","Zhao C, Slater GJR.","Injury. 2017 Aug;48(8):1858-1860. doi: 10.1016/j.injury.2017.06.010. Epub 2017 Jun 16.","Injury.  2017","PubMed","citation","PMID:28645423","pubmed","28645423","create date:2017/06/25 | first author:Zhao C",
"Biomechanical evaluation of the risk of secondary fracture around short versus long cephalomedullary nails.","/pubmed/28597401","Daner WE III, Owen JR, Wayne JS, Graves RB, Willis MC Jr.","Eur J Orthop Surg Traumatol. 2017 Dec;27(8):1103-1108. doi: 10.1007/s00590-017-1989-6. Epub 2017 Jun 8.","Eur J Orthop Surg Traumatol.  2017","PubMed","citation","PMID:28597401","pubmed","28597401","create date:2017/06/10 | first author:Daner WE III",
"The learning curve with a new cephalomedullary femoral nail.","/pubmed/28558930","Fine NF, Sexton SA, Williams DH.","Injury. 2017 Jul;48(7):1575-1578. doi: 10.1016/j.injury.2017.05.030. Epub 2017 May 25.","Injury.  2017","PubMed","citation","PMID:28558930","pubmed","28558930","create date:2017/06/01 | first author:Fine NF",
"The Hip Fracture Patient on Warfarin: Evaluating Blood Loss and Time to Surgery.","/pubmed/28445186","Cohn MR, Levack AE, Trivedi NN, Villa JC, Wellman DS, Lyden JP, Lorich DG, Lane JM.","J Orthop Trauma. 2017 Aug;31(8):407-413. doi: 10.1097/BOT.0000000000000857.","J Orthop Trauma.  2017","PubMed","citation","PMID:28445186","pubmed","28445186","create date:2017/04/27 | first author:Cohn MR",
"Comparison of Short vs Long Anti-rotation in Treating Trochanteric Fractures.","/pubmed/28435543","Raval P, Ramasamy A, Raza H, Khan K, Awan N.","Malays Orthop J. 2016 Mar;10(1):22-28. doi: 10.5704/MOJ.1603.005.","Malays Orthop J.  2016","PubMed","citation","PMID:28435543 | PMCID:PMC5333699","pubmed","28435543","create date:2017/04/25 | first author:Raval P",
"Prospective randomized study comparing two cephalomedullary nails for elderly intertrochanteric fractures: Zimmer natural nail versus proximal femoral nail antirotation II.","/pubmed/28433451","Shin YS, Chae JE, Kang TW, Han SB.","Injury. 2017 Jul;48(7):1550-1557. doi: 10.1016/j.injury.2017.04.011. Epub 2017 Apr 13.","Injury.  2017","PubMed","citation","PMID:28433451","pubmed","28433451","create date:2017/04/24 | first author:Shin YS",
"Proximal femoral nail antirotation versus dynamic hip screw fixation for treatment of osteoporotic type 31-A1 intertrochanteric femoral fractures in elderly patients.","/pubmed/28417681","Zeng X, Zhang N, Zeng D, Zhang L, Xu P, Cao L, Yu W, Zhan K, Zhang X.","J Int Med Res. 2017 Jun;45(3):1109-1123. doi: 10.1177/0300060517703277. Epub 2017 Apr 18.","J Int Med Res.  2017","PubMed","citation","PMID:28417681 | PMCID:PMC5536426","pubmed","28417681","create date:2017/04/19 | first author:Zeng X",
"Conversion to total hip arthroplasty after failed proximal femoral nail antirotations or dynamic hip screw fixations for stable intertrochanteric femur fractures: a retrospective study with a minimum follow-up of 3 years.","/pubmed/28122548","Zeng X, Zhan K, Zhang L, Zeng D, Yu W, Zhang X, Zhao M.","BMC Musculoskelet Disord. 2017 Jan 25;18(1):38. doi: 10.1186/s12891-017-1415-6.","BMC Musculoskelet Disord.  2017","PubMed","citation","PMID:28122548 | PMCID:PMC5264307","pubmed","28122548","create date:2017/01/27 | first author:Zeng X",
"Factors Associated With Patient-Initiated Telephone Calls After Orthopaedic Trauma Surgery.","/pubmed/28009614","Hadeed MM, Kandil A, Patel V, Morrison A, Novicoff WM, Yarboro SR.","J Orthop Trauma. 2017 Mar;31(3):e96-e100. doi: 10.1097/BOT.0000000000000746.","J Orthop Trauma.  2017","PubMed","citation","PMID:28009614","pubmed","28009614","create date:2016/12/24 | first author:Hadeed MM",
"Studies on the Interaction of Perfluorononanoic Acid with Human Serum Albumin by Multi-Spectroscopic, Molecular Docking and Isothermal Titration Calorimetry Techniques.","/pubmed/30256599","Hu TY, Huang F, Zhou SS, Liu Y.","Guang Pu Xue Yu Guang Pu Fen Xi. 2016 Dec;36(12):4141-7.","Guang Pu Xue Yu Guang Pu Fen Xi.  2016","PubMed","citation","PMID:30256599","pubmed","30256599","create date:2016/12/01 | first author:Hu TY",
"Short Versus Long Cephalomedullary Nails for Pertrochanteric Hip Fracture.","/pubmed/27874910","Frisch NB, Nahm NJ, Khalil JG, Les CM, Guthrie ST, Charters MA.","Orthopedics. 2017 Mar 1;40(2):83-88. doi: 10.3928/01477447-20161116-01. Epub 2016 Nov 23.","Orthopedics.  2017","PubMed","citation","PMID:27874910","pubmed","27874910","create date:2016/11/23 | first author:Frisch NB",
"Long versus short cephalomedullary nail for trochanteric femur fractures (OTA 31-A1, A2 and A3): a systematic review.","/pubmed/27093971","Dunn J, Kusnezov N, Bader J, Waterman BR, Orr J, Belmont PJ.","J Orthop Traumatol. 2016 Dec;17(4):361-367. Epub 2016 Apr 19. Review.","J Orthop Traumatol.  2016","PubMed","citation","PMID:27093971 | PMCID:PMC5071234","pubmed","27093971","create date:2016/10/21 | first author:Dunn J",
"Continuous CD34+ cell collection by a new device is safe and more efficient than by a standard collection procedure: results of a two-center, crossover, randomized trial.","/pubmed/27589225","Cancelas JA, Scott EP, Bill JR.","Transfusion. 2016 Nov;56(11):2824-2832. doi: 10.1111/trf.13769. Epub 2016 Sep 2.","Transfusion.  2016","PubMed","citation","PMID:27589225","pubmed","27589225","create date:2016/09/03 | first author:Cancelas JA",
"Peri-implant femoral fractures: The risk is more than three times higher within PFN compared with DHS.","/pubmed/27370170","Müller F, Galler M, Zellner M, Bäuml C, Marzouk A, Füchtmeier B.","Injury. 2016 Oct;47(10):2189-2194. doi: 10.1016/j.injury.2016.04.042. Epub 2016 May 7.","Injury.  2016","PubMed","citation","PMID:27370170","pubmed","27370170","create date:2016/07/03 | first author:Müller F",
"Trochanteric fragility fractures : Treatment using the cement-augmented proximal femoral nail antirotation.","/pubmed/27245659","Neuerburg C, Mehaffey S, Gosch M, Böcker W, Blauth M, Kammerlander C.","Oper Orthop Traumatol. 2016 Jun;28(3):164-76. doi: 10.1007/s00064-016-0449-5. Epub 2016 May 31.","Oper Orthop Traumatol.  2016","PubMed","citation","PMID:27245659","pubmed","27245659","create date:2016/06/02 | first author:Neuerburg C",
"Proximal femoral nails anti-rotation versus dynamic hip screws for treatment of stable intertrochanteric femur fractures: an outcome analyses with a minimum 4 years of follow-up.","/pubmed/27209256","Yu W, Zhang X, Zhu X, Yu Z, Xu Y, Zha G, Hu J, Yi J, Liu Y.","BMC Musculoskelet Disord. 2016 May 21;17:222. doi: 10.1186/s12891-016-1079-7.","BMC Musculoskelet Disord.  2016","PubMed","citation","PMID:27209256 | PMCID:PMC4875726","pubmed","27209256","create date:2016/05/23 | first author:Yu W",
"Distribution analysis of profilin isoforms at transcript resolution with mRNA-seq and secondary structure in various organs of Rattus norvegicus.","/pubmed/27185630","Tariq N, Basharat Z, Butt S, Baig DN.","Gene. 2016 Sep 1;589(1):49-55. doi: 10.1016/j.gene.2016.05.023. Epub 2016 May 13.","Gene.  2016","PubMed","citation","PMID:27185630","pubmed","27185630","create date:2016/05/18 | first author:Tariq N",
"[Latex sensitization prevalence through prick test in patients with genitourinary malformations and more than 3 surgeries].","/pubmed/27174758","Macías-Robles AP, Morán-Mendoza AR.","Rev Alerg Mex. 2016 Apr-Jun;63(2):154-62. Spanish. ","Rev Alerg Mex.  2016","PubMed","citation","PMID:27174758","pubmed","27174758","create date:2016/05/14 | first author:Macías-Robles AP",
"Perfluoroalkylated Substance Effects in Xenopus laevis A6 Kidney Epithelial Cells Determined by ATR-FTIR Spectroscopy and Chemometric Analysis.","/pubmed/27078751","Gorrochategui E, Lacorte S, Tauler R, Martin FL.","Chem Res Toxicol. 2016 May 16;29(5):924-32. doi: 10.1021/acs.chemrestox.6b00076. Epub 2016 Apr 25.","Chem Res Toxicol.  2016","PubMed","citation","PMID:27078751 | PMCID:PMC4870675","pubmed","27078751","create date:2016/04/15 | first author:Gorrochategui E",
"The long and short of cephalomedullary nails in the treatment of osteoporotic pertrochanteric fracture.","/pubmed/26948107","Hong CC, Nashi N, Makandura MC, Tan JH, Peter L, Murphy D.","Singapore Med J. 2017 Feb;58(2):85-91. doi: 10.11622/smedj.2016048. Epub 2016 Mar 7.","Singapore Med J.  2017","PubMed","citation","PMID:26948107 | PMCID:PMC5311889","pubmed","26948107","create date:2016/03/08 | first author:Hong CC",
"Closed Cephalomedullary Nailing with Patient in Lateral Decubitus Position for Repair of Peritrochanteric Femoral Fracture.","/pubmed/30237916","Sloan M, von Keudell A, Walley KC, Nasr MC, Rodriguez EK.","JBJS Essent Surg Tech. 2016 Feb 10;6(1):e6. doi: 10.2106/JBJS.ST.15.00022. eCollection 2016 Mar 23.","JBJS Essent Surg Tech.  2016","PubMed","citation","PMID:30237916 | PMCID:PMC6145616","pubmed","30237916","create date:2016/02/10 | first author:Sloan M",
"Congenital Mesoblastic Nephroma Presenting With Hematuria in a Neonate: A Case Report.","/pubmed/26616096","Kamaraj S, Arbuckle S, Warner D, Smith G, Karpelowsky J.","Urology. 2016 Feb;88:189-91. doi: 10.1016/j.urology.2015.10.026. Epub 2015 Nov 23.","Urology.  2016","PubMed","citation","PMID:26616096","pubmed","26616096","create date:2015/12/01 | first author:Kamaraj S",
