Taxonomy Code,Zheln Tag,Physician Specialty,Specialty Group
OAN,"",Obstetric Anesthesiology,Anesthesiology
OBS,"",Obstetrics,Obstetrics/Gynecology
OBG,"",Obstetrics & Gynecology,Obstetrics/Gynecology
OM,"",Occupational Medicine,Preventive Medicine
OPR,"",Ophthalmic Plastic and Reconstructive Surgery,Ophthalmology
OPH,"",Ophthalmology,Ophthalmology
OMF,"",Oral & Maxillofacial Surgery,Surgery
ORS,"",Orthopedic Surgery,Orthopedics
OSS,"",Orthopedic Surgery of the Spine,Orthopedics
OTR,"",Orthopedic Trauma,Orthopedics
OMM,"",Osteopathic Manipulative Medicine,Other
ONM,"",Osteopathic Neuromusculoskeletal Medicine,Other
OTO,"",Otolaryngology,Otolaryngology
PME,"",Pain Management,Anesthesiology
PPN,"",Pain Medicine,Psychiatry
PMM,"",Pain Medicine,Other
APM,"",Pain Medicine,Other
PMN,"",Pain Medicine,Other
PMP,"",Pain Medicine,Other
PLM,"",Palliative Medicine,Other
PDA,"",Pediatric Allergy,Pediatrics
PAN,"",Pediatric Anesthesiology,Pediatrics
PDC,"",Pediatric Cardiology,Cardiology
PCS,"",Pediatric Cardiothoracic Surgery,Surgery
CCP,"",Pediatric Critical Care Medicine,Pediatrics
PDD,"",Pediatric Dermatology,Dermatology
PDM,"",Pediatric Dermatology,Dermatology
PE,"",Pediatric Emergency Medicine,Emergency Medicine
PEM,"",Pediatric Emergency Medicine,Pediatrics
PDE,"",Pediatric Endocrinology,Pediatrics
PG,"",Pediatric Gastroenterology,Pediatrics
PHO,"",Pediatric Hematology/Oncology,Oncology
PHE,"",Pediatric Hospital Medicine,Pediatrics
PDI,"",Pediatric Infectious Diseases,Pediatrics
PN,"",Pediatric Nephrology,Pediatrics
PO,"",Pediatric Ophthalmology,Ophthalmology
OP,"",Pediatric Orthopedics,Orthopedics
PDO,"",Pediatric Otolaryngology,Otolaryngology
PP,"",Pediatric Pathology,Pathology
PDP,"",Pediatric Pulmonology,Pediatrics
PDR,"",Pediatric Radiology,Radiology
RPM,"",Pediatric Rehabilitation Medicine,Physical Medicine & Rehab
PPR,"",Pediatric Rheumatology,Pediatrics
NSP,"",Pediatric Surgery,Neurological Surgery
PDS,"",Pediatric Surgery,Surgery
PTP,"",Pediatric Transplant Hepatology,Pediatrics
UP,"",Pediatric Urology,Urology
PD,"",Pediatrics,Pediatrics
PHM,"",Pharmaceutical Medicine,Other
PHL,"",Phlebology,Other
PM,"",Physical Medicine & Rehabilitation,Physical Medicine & Rehab
PS,"",Plastic Surgery,Plastic Surgery
PSO,"",Plastic Surgery within the Head & Neck,Otolaryngology
PSP,"",Plastic Surgery within the Head & Neck,Plastic Surgery
PSH,"",Plastic Surgery within the Head &Neck,Otolaryngology
PSI,"",Plastic Surgery – Integrated,Plastic Surgery
PRD,"",Procedural Dermatology,Dermatology
PRO,"",Proctology,Surgery
P,"",Psychiatry,Psychiatry
PYA,"",Psychoanalysis,Psychiatry
PYM,"",Psychosomatic Medicine,Psychiatry
PHP,"",Public Health & General Preventive Medicine,Preventive Medicine
PCC,"",Pulmonary Critical Care Medicine,Internal Medicine
PUD,"",Pulmonary Disease,Internal Medicine
RO,"",Radiation Oncology,Radiology
RP,"",Radiological Physics,Radiology
RR,"",Radiology,Radiology
R,"",Radiology,Radiology
RAA,"",Regional Anesthesiology and Acute Pain Medicine,Anesthesiology
REN,"",Reproductive Endocrinology and Infertility,Obstetrics/Gynecology
RHU,"",Rheumatology,Internal Medicine
SP,"",Selective Pathology,Pathology
SMA,"",Sleep Medicine,Anesthesiology
SMI,"",Sleep Medicine,Internal Medicine
SMN,"",Sleep Medicine,Neurology
SMO,"",Sleep Medicine,Otolaryngology
SMP,"",Sleep Medicine,Pediatrics
SMN,"",Sleep Medicine,Psychiatry
SME,"",Sleep Medicine,Other
SCI,"",Spinal Cord Injury,Physical Medicine & Rehab
ESM,"",Sports Medicine,Emergency Medicine
FSM,"",Sports Medicine,Family/General Practice
ISM,"",Sports Medicine,Internal Medicine
OSM,"",Sports Medicine,Orthopedics
PSM,"",Sports Medicine,Pediatrics
PRS,"",Sports Medicine,Physical Medicine & Rehab
CCS,"",Surgical Critical Care,Surgery
SO,"",Surgical Oncology,Oncology
TS,"",Thoracic Surgery,Surgery
TSI,"",Thoracic Surgery – Integrated,Surgery
THI,"",Transplant Hepatology,Internal Medicine
THP,"",Transplant Hepatology,Internal Medicine
TTS,"",Transplant Surgery,Surgery
TRS,"",Trauma Surgery,Surgery
UME,"",Undersea & Hyperbaric Medicine,Emergency Medicine
UM,"",Undersea & Hyperbaric Medicine,Preventive Medicine
UCM,"",Urgent Care Medicine,Emergency Medicine
U,"",Urology,Urology
VIR,"",Vascular & Interventional Radiology,Radiology
VM,"",Vascular Medicine,Internal Medicine
VN,"",Vascular Neurology,Neurology
VS,"",Vascular Surgery,Surgery
VSI,"",Vascular Surgery – Integrated,Surgery
