Recent queries in pubmed
Search,Query,Items found,Time
#43,"Search ""case series""[ti]",15850,20:45:50
#38,"Search (((((((((((compression[Text Word]) OR burst[Text Word]) OR ((a2[tw] OR a3[tw] OR a4[tw]))) OR AOSpine[Text Word]) OR AO[Text Word]) OR Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word])) AND (((((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word])) AND (((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw])))))) NOT ((case reports[Publication Type] OR ""case report""[Title]))) NOT ((Animals[mh:noexp] not Humans[mh:noexp]))) AND 1600/01/01:2019/02/26[crdt]",4435,20:42:21
#37,"Search (Animals[mh:noexp] not Humans[mh:noexp])",4518858,20:41:29
#36,"Search (case reports[Publication Type] OR ""case report""[Title])",2044920,20:41:05
#35,"Search case reports[Publication Type]",2002831,20:40:39
#33,"Search ((((((((((((((compression[Text Word]) OR burst[Text Word]) OR ((a2[tw] OR a3[tw] OR a4[tw]))) OR AOSpine[Text Word]) OR AO[Text Word]) OR Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word])) AND (((((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word])) AND (((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw])))))) AND 1600/01/01:2019/02/26[crdt])) NOT case reports[Publication Type]) NOT ""case report""[Title])) NOT ((Animals[mh:noexp] not Humans[mh:noexp]))",4435,20:37:37
#32,"Search ((((((((((((compression[Text Word]) OR burst[Text Word]) OR ((a2[tw] OR a3[tw] OR a4[tw]))) OR AOSpine[Text Word]) OR AO[Text Word]) OR Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word])) AND (((((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word])) AND (((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw])))))) AND 1600/01/01:2019/02/26[crdt])) NOT case reports[Publication Type]) NOT ""case report""[Title]",5382,20:35:38
#31,"Search (((((((((compression[Text Word]) OR burst[Text Word]) OR ((a2[tw] OR a3[tw] OR a4[tw]))) OR AOSpine[Text Word]) OR AO[Text Word]) OR Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word])) AND (((((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word])) AND (((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw])))))) AND 1600/01/01:2019/02/26[crdt]",7125,20:30:06
#30,"Search 1600/01/01:2019/02/26[crdt]",29428325,20:29:59
#29,"Search (((((((compression[Text Word]) OR burst[Text Word]) OR ((a2[tw] OR a3[tw] OR a4[tw]))) OR AOSpine[Text Word]) OR AO[Text Word]) OR Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word])) AND (((((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word])) AND (((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw]))))",7125,20:29:28
#28,"Search (((((compression[Text Word]) OR burst[Text Word]) OR ((a2[tw] OR a3[tw] OR a4[tw]))) OR AOSpine[Text Word]) OR AO[Text Word]) OR Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word]",249871,20:29:20
#27,"Search ((((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word])) AND (((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw])))",77001,20:28:41
#26,"Search ((((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp])) OR dislocat*[Text Word]",1332056,20:28:28
#25,"Search dislocat*[Text Word]",70133,20:28:15
#24,"Search compression[Text Word]",114502,20:28:00
#23,"Search burst[Text Word]",45011,20:27:48
#22,"Search (a2[tw] OR a3[tw] OR a4[tw])",80645,20:27:32
#21,"Search A2[Text Word]",62490,20:26:58
#20,"Search ((((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word])) OR ((t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw]))",783294,20:26:19
#19,"Search (t1[tw] OR t2[tw] OR t3[tw] OR t4[tw] OR t5[tw] OR t6[tw] OR t7[tw] OR t8[tw] OR t9[tw] OR t10[tw] OR t11[tw] OR t12[tw] OR th1[tw] OR th2[tw] OR th3[tw] OR th4[tw] OR th5[tw] OR th6[tw] OR th7[tw] OR th8[tw] OR th9[tw] OR th10[tw] OR th11[tw] OR th12[tw] OR d1[tw] OR d2[tw] OR d3[tw] OR d4[tw] OR d5[tw] OR d6[tw] OR d7[tw] OR d8[tw] OR d9[tw] OR d10[tw] OR d11[tw] OR d12[tw] OR l1[tw] OR l2[tw] OR l3[tw] OR l4[tw] OR l5[tw] OR l6[tw])",449024,20:25:56
#17,"Search (((Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word]) NOT AO[Text Word])) NOT AOSpine[Text Word]",32,20:22:41
#16,"Search AOSpine[Text Word]",191,20:22:23
#14,"Search (Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word]) NOT AO[Text Word]",33,20:21:40
#13,"Search AO[Text Word]",11943,20:21:21
#12,"Search Arbeitsgemeinschaft fur Osteosynthesefragen[Text Word]",179,20:21:00
#11,"Search ((((thoracic[Text Word]) OR lumbar[Text Word]) OR thoracic vertebrae[MeSH Terms]) OR lumbar vertebrae[MeSH Terms]) OR thoraco*[Text Word]",362876,20:20:36
#10,"Search lumbar vertebrae[MeSH Terms]",49079,20:19:49
#9,"Search thoracic vertebrae[MeSH Terms]",19519,20:19:41
#8,"Search lumbar[Text Word]",114987,20:19:26
#7,"Search thoracic[Text Word]",231160,20:19:11
#6,"Search thoracic",343675,20:18:56
#5,"Search thoraco*[Text Word]",61872,20:18:50
#4,"Search ((fractur*[Text Word]) OR injur*[Text Word]) OR fractures, bone[mh:noexp]",1297473,20:18:25
#3,"Search fractures, bone[mh:noexp]",61551,20:17:56
#2,"Search injur*[Text Word]",1120789,20:17:06
#1,"Search fractur*[Text Word]",289078,20:16:52


